country,year,annual_avg_pm25
Madagascar,2022,19.42
Madagascar,2023,9.85
Malaysia,2017,18.052
Malaysia,2019,8.142000000000001
Malaysia,2020,7.281000000000001
Malaysia,2021,9.21
Malaysia,2022,10.45
Malaysia,2023,9.332
Mali,2020,75.78
Mali,2022,45.24
Mexico,2017,28.581000000000003
Mexico,2018,24.695999999999994
Mexico,2019,24.204
Mexico,2020,19.796
Mexico,2021,29.425
Mexico,2022,18.654
Mexico,2023,19.202
Moldova,2022,51.26
Moldova,2023,18.89
Mongolia,2017,107.87
Mongolia,2018,40.23
Mongolia,2019,115.48
Mongolia,2021,166.07
Mongolia,2023,112.48
Montenegro,2022,15.986
Montenegro,2023,10.720999999999998
Myanmar,2019,41.65
Myanmar,2020,36.53
Myanmar,2021,15.78
Myanmar,2023,41.37
Nepal,2017,93.34
Nepal,2020,93.94
Nepal,2021,30.45
Nepal,2023,61.09
Netherlands,2017,6.446963472397892
Netherlands,2018,15.006022600000003
Netherlands,2020,13.5141716
New Zealand,2023,5.858756264
Nigeria,2019,57.56499999999999
Nigeria,2020,89.47000000000001
Nigeria,2021,47.474
Nigeria,2022,74.001
Nigeria,2023,145.898
Norway,2017,5.110142528
Norway,2018,13.926459540000003
Norway,2019,9.046007349999998
Norway,2020,1.86092876
Norway,2021,15.430483160000003
Norway,2022,7.34547898
Norway,2023,13.159763950000002
Pakistan,2019,283.59
Pakistan,2020,90.28
Pakistan,2022,100.93
Pakistan,2023,219.64
Paraguay,2023,7.142999999999998
Peru,2017,42.632
Peru,2018,32.0464
Peru,2019,22.86
Peru,2020,0.0
Peru,2021,48.0237
Peru,2022,22.8847
Peru,2023,26.175600000000003
Philippines,2023,23.058
Poland,2017,27.196
Poland,2018,12.889
Poland,2019,1.863
Poland,2020,8.1316
Poland,2021,9.8812
Poland,2022,10.8433
Poland,2023,5.905899999999999
Portugal,2017,1.5970000000000002
Portugal,2018,0.72
Portugal,2019,0.0
Portugal,2020,8.7
Portugal,2021,9.02
Portugal,2022,10.32
Portugal,2023,11.854
Puerto Rico,2017,11.814
Puerto Rico,2018,12.676000000000002
Puerto Rico,2019,5.977
Puerto Rico,2020,18.425
Puerto Rico,2021,32.120999999999995
Puerto Rico,2022,7.010000000000002
Puerto Rico,2023,31.83900000000001
Qatar,2022,29.32
Qatar,2023,28.14
Romania,2021,16.24524464
Romania,2022,31.0996027538
Romania,2023,35.6287239087
Russia,2018,39.96
Russia,2019,15.6501567
Russia,2020,42.73
Russia,2021,10.16
Rwanda,2020,70.666
Rwanda,2021,30.231
Rwanda,2022,52.14699999999999
Rwanda,2023,0.0
Saudi Arabia,2019,33.83
Saudi Arabia,2020,30.96
Saudi Arabia,2021,61.06
Saudi Arabia,2022,26.6
Saudi Arabia,2023,15.94
Senegal,2023,28.573485123471563
Serbia,2019,34.410333599999994
Serbia,2020,18.274244
Serbia,2021,42.31706619999999
Serbia,2022,35.3468107
Serbia,2023,60.35534271992833
Slovakia,2017,23.949544
Slovakia,2018,9.325377
Slovakia,2019,14.158584
Slovakia,2020,15.575675999999998
Slovakia,2021,21.41634
Slovakia,2022,23.724151999999997
Slovakia,2023,24.937529999999995
Slovenia,2017,16.266000000000002
Slovenia,2018,32.629999999999995
Slovenia,2019,23.063
Slovenia,2020,7.726
Slovenia,2021,26.637000000000004
Slovenia,2022,8.169
Slovenia,2023,14.249999999999998
South Africa,2019,27.127
South Africa,2020,14.963
South Africa,2021,1.4716299999999998
South Africa,2022,14.590170000000002
South Africa,2023,14.6917
South Korea,2020,17.87
South Korea,2021,13.455
South Korea,2022,15.5
South Korea,2023,14.308000000000002
Spain,2017,5.986000000000001
Spain,2018,5.025
Spain,2019,19.94
Spain,2020,7.268000000000002
Spain,2021,5.412000000000001
Spain,2022,5.805
Spain,2023,5.417999999999999
Sri Lanka,2019,34.84
Sri Lanka,2020,11.0
Sri Lanka,2021,16.2
Sri Lanka,2022,41.57
Sri Lanka,2023,27.87
Sudan,2020,8.7
Sweden,2017,7.535553139999999
Sweden,2018,8.48821575
Sweden,2019,5.728000000000001
Sweden,2020,6.072682820000001
Sweden,2021,10.058
Sweden,2022,3.5940000000000007
Sweden,2023,4.8950000000000005
Switzerland,2017,4.379871999999999
Switzerland,2018,20.197807
Switzerland,2019,23.343546
Switzerland,2020,9.495672
Switzerland,2021,4.807773
Switzerland,2022,5.321917000000001
Switzerland,2023,7.790211000000002
Taiwan,2017,26.51
Taiwan,2018,23.65
Taiwan,2019,10.81
Taiwan,2020,15.44
Taiwan,2021,11.77
Taiwan,2023,44.06075757575758
Tajikistan,2019,81.25
Tajikistan,2020,160.34
Tajikistan,2021,62.73
Tajikistan,2022,76.31
Tajikistan,2023,61.01
Thailand,2019,40.53
Thailand,2020,35.13
Thailand,2022,1.05
Thailand,2023,37.73
Trinidad and Tobago,2023,7.797482993
Turkey,2022,6.959060000000001
Turkey,2023,12.10547
Turkmenistan,2019,26.73
Turkmenistan,2020,18.66
Turkmenistan,2021,1.1
Uganda,2017,56.03
Uganda,2018,28.76
Uganda,2019,96.27
Uganda,2021,20.97
Uganda,2023,75.68
Ukraine,2023,28.72461573673619
United Arab Emirates,2017,35.92857142857143
United Arab Emirates,2019,29.52
United Arab Emirates,2023,7.4
United Kingdom,2017,9.19
United Kingdom,2018,16.12
United Kingdom,2019,17.92
United Kingdom,2020,11.75
United Kingdom,2021,5.31
United Kingdom,2022,3.46
United Kingdom,2023,4.91
United States of America,2017,7.299999999999998
United States of America,2018,5.045
United States of America,2019,8.657
United States of America,2020,11.7
United States of America,2021,5.26
United States of America,2022,8.17
United States of America,2023,6.6
Uruguay,2023,27.458234947000328
Uzbekistan,2018,35.36
Uzbekistan,2019,43.17
Uzbekistan,2020,69.31
Uzbekistan,2021,22.04
Uzbekistan,2022,4.8
Uzbekistan,2023,68.49
Vietnam,2017,36.13
Vietnam,2018,28.78
Vietnam,2019,46.77
Vietnam,2020,37.34
Vietnam,2021,12.7
Vietnam,2023,429.48
